Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Alonso F., Blanco R., Río A.D., Sanchis A.","7102961882;36818001900;7004316515;7004052543;","Estimating liquidity premia in the Spanish government securities market",2004,"European Journal of Finance","10","6",,"453","474",,6,"10.1080/1351847042000254202","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-11344264740&doi=10.1080%2f1351847042000254202&partnerID=40&md5=85b8d1b9e816216dd9156ced3564895a","Research Department, Banco de España, Alcalá 50, Madrid 28014, Spain","Alonso, F., Research Department, Banco de España, Alcalá 50, Madrid 28014, Spain; Blanco, R., Research Department, Banco de España, Alcalá 50, Madrid 28014, Spain; Río, A.D., Research Department, Banco de España, Alcalá 50, Madrid 28014, Spain; Sanchis, A., Research Department, Banco de España, Alcalá 50, Madrid 28014, Spain","This paper investigates the presence of liquidity premia in the relative pricing of assets traded on the Spanish government securities market. First, a classification of bonds into four different categories based on their degree of liquidity is proposed. Second, liquidity premia are estimated introducing liquidity parameters in the estimation of the zero-coupon yield curve. Results suggest the existence of a liquidity premium for post-benchmark bonds (both strippable and non-strippable). The size of this premium is relatively small. In the case of pre-benchmark bonds, the lack of liquidity does not seem to be priced. It is also shown that these pricing discrepancies are robust to the impact of taxes on bonds.","Benchmark; Bid-ask spread; Liquidity premium; Yield curve",,"Alonso, F.; Research Department, Alcalá 50, Madrid 28014, Spain; email: falonso@bde.es",,,1351847X,,,,"English","Eur. J. Financ.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-11344264740
"Bryant H.L., Haigh M.S.","7102792938;7007051278;","Bid-ask spreads in commodity futures markets",2004,"Applied Financial Economics","14","13",,"923","936",,25,"10.1080/0960310042000284669","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-4544311143&doi=10.1080%2f0960310042000284669&partnerID=40&md5=eba729193d5718a4e855b495ade5f2af","Dept. of Agricl./Resource Economics, University of California, Berkeley, CA 94720, United States; US Commodity Futures Trading Commn., Washington, DC 20581, United States","Bryant, H.L., Dept. of Agricl./Resource Economics, University of California, Berkeley, CA 94720, United States; Haigh, M.S., US Commodity Futures Trading Commn., Washington, DC 20581, United States","Issues of recent interest and controversy regarding bid-ask spreads in commodity futures markets are investigated. First, competing spread estimators are applied to open outcry transactions data and resulting estimates are compared to observed spreads. This enables market microstructure researchers, regulators, exchange officials, and traders the opportunity to evaluate the usefulness and accuracy of bid-ask estimators in markets that do not report bid and ask data, providing an idea of the 'worst-case' transaction costs that are likely to be incurred. Also compared, are spreads observed before and after trading was automated (and made anonymous) on commodity futures markets, and it is discovered that spreads have generally widened since trading was automated, and that they have an increased tendency to widen in periods of high volatility. These findings suggest that commodity futures markets have an inherently different character than financial futures markets, and therefore merit separate investigation. © 2004 Taylor and Francis Ltd.",,"commodity market; market conditions; transaction cost","Haigh, M.S.; US Commodity Futures Trading Commn., Washington, DC 20581, United States; email: mhaigh@cftc.gov",,,09603107,,,,"English","Appl. Financ. Econ.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-4544311143
"Chung K.H., Van Ness B.F., Van Ness R.A.","7404086674;7006769746;6701379205;","Specialists, Limit-Order Traders, and the Components of the Bid-Ask Spread",2004,"Financial Review","39","2",,"255","270",,11,"10.1111/j.0732-8516.2004.00075.x","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-33846812478&doi=10.1111%2fj.0732-8516.2004.00075.x&partnerID=40&md5=0c3fa701d9a008c2ef50f1ab0012943a","State University of New York, Buffalo, United States; University of Mississippi, United States","Chung, K.H., State University of New York, Buffalo, United States; Van Ness, B.F., University of Mississippi, United States; Van Ness, R.A., University of Mississippi, United States","This study compares the components of the bid-ask spread estimated from quotes that reflect the trading interest of specialists with those estimated from limit-order quotes and all available quotes for a sample of New York Stock Exchange (NYSE) stocks. The results show that the adverse selection component of the spread estimated from specialist quotes is significantly smaller than the corresponding figures from limit-order quotes and entire quotes. We interpret this as evidence that NYSE specialists transfer at least a part of adverse selection costs to outsiders through the discretionary use of limit orders. Our results show that the estimation/interpretation of the components of the spread using quote data that include both specialist and limit-order interests is problematic. © 2017 Wiley. All rights reserved.","Bid-ask spread; Limit order; NYSE specialists; Spread components",,,,,07328516,,,,"English","Financ. Rev.",Article,"Final","",Scopus,2-s2.0-33846812478
"Nordén L.","55892145700;","Asymmetric option price distribution and bid-ask quotes: Consequences for implied volatility smiles",2003,"Journal of Multinational Financial Management","13","4-5",,"423","441",,8,"10.1016/S1042-444X(03)00019-7","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-0041709257&doi=10.1016%2fS1042-444X%2803%2900019-7&partnerID=40&md5=528a70820eb423cff677635524cf0c06","Department of Corporate Finance, School of Business, Stockholm University, S-106 91 Stockholm, Sweden","Nordén, L., Department of Corporate Finance, School of Business, Stockholm University, S-106 91 Stockholm, Sweden","This study presents a model for estimating the asymmetry of option values with respect to option bid-ask spreads. The model does not require knowledge of the actual option value to evaluate the asymmetry. Using data from the Swedish equity options market, several interesting results emerge. First, there is evidence of asymmetry in call and put values, where values are closer to bid than to ask quotes. Second, in- and out-of-the-money calls and puts show a higher degree of asymmetry than at-the-money options. Third, taking asymmetry into account in the estimation of option-implied volatility, produces a less pronounced volatility smile. © 2003 Elsevier B.V. All rights reserved.","Asymmetry; Option bid-ask spread; Volatility smile",,"Nordén, L.; Department of Corporate Finance, , S-106 91 Stockholm, Sweden; email: in@fek.su.se",,,1042444X,,,,"English","J. Multinatl. Financ. Manage.",Article,"Final","",Scopus,2-s2.0-0041709257
"Ulibarri C.A., Schatzberg J.","7003381064;6507985010;","Liquidity costs: Screen-based trading versus open outcry",2003,"Review of Financial Economics","12","4",,"381","396",,6,"10.1016/j.rfe.2003.07.003","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-0242551970&doi=10.1016%2fj.rfe.2003.07.003&partnerID=40&md5=c636acfc78e16d25e86e6ad1369a3056","Management Department, New Mexico Inst. of Mining/Technol., Socorro, NM 87801-4796, United States; Anderson Schools of Management, University of New Mexico, Albuquerque, NM, United States","Ulibarri, C.A., Management Department, New Mexico Inst. of Mining/Technol., Socorro, NM 87801-4796, United States; Schatzberg, J., Anderson Schools of Management, University of New Mexico, Albuquerque, NM, United States","The results reported in this paper challenge the popular belief that screen-based trading offered lower liquidity costs than the open-outcry approach during its first year of side-by-side operation in the U.S. financial derivatives market. Using time and sales data from the Chicago Board of Trade (CBOT) market profile data series, effective bid-ask spreads are estimated on the basis of daily and intraday measures of the Thompson-Waller and Smith-Whaley estimators. We find liquidity costs on the screen-based system vary with time and the level of floor trading activity. In particular, a one-tick market is observed just before the opening of the Chicago trading floor (6:30 to 7:30 am). However, subsequent intraday spreads exhibit the familiar ""reverse J-shaped pattern""-highest following the opening of floor trading, declining until afternoon, and then increasing until close. Meanwhile, daily spread estimates average almost a quarter-tick higher on the screen-based market relative to the one-tick spread commonly associated with open outcry. This relationship remained robust across sample time-series and conservative price-change specifications. Since the study was conducted, electronic trading has become the predominant exchange medium for financial derivatives at the CBOT, following the example set in Europe's traditional futures exchanges, e.g. France's Matif, Germany's Deutsche Bourse and the U.K.'s Liffe. © 2003 Elsevier Inc. All rights reserved.","Bid-ask spreads; Market liquidity; Open outcry; Screen-based trading",,"Ulibarri, C.A.; Management Department, , Socorro, NM 87801-4796, United States; email: ulibarri@nmt.edu",,,10583300,,,,"English","Rev. Financ. Econ.",Article,"Final","",Scopus,2-s2.0-0242551970
"Theissen E.","6602298162;","A test of the accuracy of the Lee/Ready trade classification algorithm",2001,"Journal of International Financial Markets, Institutions and Money","11","2",,"147","165",,37,"10.1016/S1042-4431(00)00048-2","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-0041738089&doi=10.1016%2fS1042-4431%2800%2900048-2&partnerID=40&md5=cfacbcaf8d19a3d4fb5d558045fca527","Rheinsche Friedrich-Wilhelms-U., BWL 1, Adenaurerallee 24-42, 53113, Bonn, Germany","Theissen, E., Rheinsche Friedrich-Wilhelms-U., BWL 1, Adenaurerallee 24-42, 53113, Bonn, Germany","We analyze the accuracy of the Lee/Ready (1991) trade classification algorithm and the tick test. Our definition of true trade classification is based on whether the Makler (the equivalent of the specialist on the Frankfurt Stock Exchange) bought or sold shares. The Lee/Ready method classifies 72.8% of the transactions correctly. The simpler tick test performs almost equally well. We document that misclassification of trades may systematically bias the results of empirical microstructure research. Finally, we show that estimation of the bid-ask spread from transaction data results in a reasonably accurate estimate of the relative liquidity of our sample stocks. This is an important finding because quote data for the German stock market is not available on a regular basis. © 2001 Elsevier Science B.V.","Bid-ask spread; G10; Lee/Ready method; Tick test",,"Theissen, E.; Rheinsche Friedrich-Wilhelms-U., , Bonn, Germany; email: theissen@uni-bonn.de",,,10424431,,,,"English","J. Int. Financ. Mark. Inst. Money",Article,"Final","",Scopus,2-s2.0-0041738089
"Linton O.","7005640498;","Estimation of linear regression models from bid-ask data by a spread-tolerant estimator",2001,"Annals of Economics and Finance","2","1",,"237","248",,,,"https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85042520931&partnerID=40&md5=fe56e4c7cc10c6f2b6b678112a3877d0","Department of Economics, London School of Economics, Houghton Street, London, WC2A 2AE, United Kingdom","Linton, O., Department of Economics, London School of Economics, Houghton Street, London, WC2A 2AE, United Kingdom","We investigate a class of estimators for linear regression models where the dependent variable is subject to bid-ask censoring. Our estimation method is based on a definition of error that is zero when the predictor lies between the actual bid price and ask price, and linear outside this range. Our estimator minimizes a sum of such squared errors; it is nonlinear, and indeed the criterion function itself is non-smooth. We establish its asymptotic properties using the approach of Pakes and Pollard (1989). We compare the estimator with midpoint OLS. © 2001 by Peking University Press All rights of reproduction in any form reserved.","Bid-ask spread; Censored data; Linear regression",,"Linton, O.; Department of Economics, Houghton Street, United Kingdom; email: lintono@lse.ac.uk",,"Central University of Finance and Economics",15297373,,,,"English","Ann. Econ. Financ.",Article,"Final","",Scopus,2-s2.0-85042520931
"Theissen E.","6602298162;","Market structure, informational efficiency and liquidity: An experimental comparison of auction and dealer markets",2000,"Journal of Financial Markets","3","4",,"333","363",,52,"10.1016/S1386-4181(00)00010-0","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-0041827669&doi=10.1016%2fS1386-4181%2800%2900010-0&partnerID=40&md5=49a0d59925a4c5d9ad6b6af7146e6264","Johann Wolfgang Goethe-Univ. F., Lehrst. Kreditwirtschaft F., Frankfurt, Germany","Theissen, E., Johann Wolfgang Goethe-Univ. F., Lehrst. Kreditwirtschaft F., Frankfurt, Germany","We report the results of 18 market experiments that were conducted in order to compare the call market, the continuous auction and the dealer market. Transaction prices in the call and continuous auction markets are much more efficient than prices in the dealer markets. The call market shows a tendency towards underreaction to new information. Execution costs are lowest in the call market and highest in the dealer market. The trading volume and Roll's (Journal of Finance (1984) 1127-1139) serial covariance estimator are inappropriate measures of execution costs in the present context. The relation between private signals, trading decisions and trading profits is analyzed. © 2000 Elsevier Science Ltd.","C90; Experimental asset markets; G14; Informational efficiency; Liquidity, Bid-ask spread; Market microstructure",,"Theissen, E.; Johann Wolfgang Goethe-Univ. F., , Frankfurt, Germany; email: theissen@wiwi.uni-frankfurt.de",,"Elsevier",13864181,,,,"English","J. Financ. Mark.",Article,"Final","",Scopus,2-s2.0-0041827669
"Wang G.H.K., Yau J.","55643999053;8445502900;","Trading volume, bid-ask spread, and price volatility in futures markets",2000,"Journal of Futures Markets","20","10",,"943","970",,98,"10.1002/1096-9934(200011)20:10<943::AID-FUT4>3.0.CO;2-8","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-0034368552&doi=10.1002%2f1096-9934%28200011%2920%3a10%3c943%3a%3aAID-FUT4%3e3.0.CO%3b2-8&partnerID=40&md5=56ad9c3486867c796231ae0f35f887bc","Division of Economic Analysis, U.S. Commodity Futures Trdg. Commn., 3 Lafayette Centre, 1155 21st Street NW, Washington, DC 20581, United States; Division of Economic Analysis, Robert H. Smith School of Business, University of Maryland, College Park, MD, United States; Department of Finance, School of Management, George Mason University, Fairfax, VA, United States","Wang, G.H.K., Division of Economic Analysis, U.S. Commodity Futures Trdg. Commn., 3 Lafayette Centre, 1155 21st Street NW, Washington, DC 20581, United States, Division of Economic Analysis, Robert H. Smith School of Business, University of Maryland, College Park, MD, United States; Yau, J., Department of Finance, School of Management, George Mason University, Fairfax, VA, United States","In this study, we examined the relations between trading volume, bid-ask spread, and price volatility on four financial and metal futures. Hausman's (1978) tests of specification confirmed that trading volume, bid-ask spread, and price volatility are jointly determined. We estimated the parameters and elasticities of trading volume, bid-ask spread, and price volatility in a three-equation structural model, using the generalized method of moments (GMM) procedure. Results indicate that there was a positive relationship between trading volume and price volatility but an inverse relationship between trading volume and bid-ask spread after we controlled for other factors. Furthermore, results show that price volatility had a positive relationship with bid-ask spread and a negative relationship with lagged trading volume. In addition, we found that the ordinary least-squares parameter estimates of each equation model were often severely underestimated in comparison with those consistent estimates obtained from the GMM estimation. Results from this study have important policy implications. Our results indicate that a transaction tax, which is analogous to a greater bid-ask spread, will reduce trading volume, although the reduction is not as great as we previously estimated. © 2000 John Wiley & Sons, Inc. Jrl Fut Mark 20:943-970, 2000.",,,"Wang, G.H.K.; Division of Economic Analysis, 1155 21st Street NW, Washington, DC 20581, United States; email: gwang@cftc.gov",,"Wiley-Liss Inc.",02707314,,,,"English","J. Futures Mark.",Article,"Final","",Scopus,2-s2.0-0034368552
"Hong G., Warga A.","7203031399;6602390212;","An Empirical Study of Bond Marker Transactions",2000,"Financial Analysts Journal","56","2",,"32","46",,127,"10.2469/faj.v56.n2.2342","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-0008529646&doi=10.2469%2ffaj.v56.n2.2342&partnerID=40&md5=56c9a3bdaaebd76e9a79bf05db8858a6",,"Hong, G.; Warga, A.","Short histories of dealer-market and exchange-based bond transactions in machine-readable form have recently become available. They permitted us to provide for the first time direct estimation of the effective bid-ask spread for corporate bonds in the institutional and retail markets. Overall, we found effective spreads for NYSE-traded corporate bonds to be similar to effective spreads for dealer-market transactions. Evidence is that corporate bond spreads have declined over time and that dealers carry out U. S. government bond trades with major institutional clients as a nonprofit service, perhaps to support other (ostensibly) profitable activities. We demonstrate that bid-ask spreads and the magnitude of price discrepancies between data sources are reliably associated with proxies for risk and liquidity.",,,,,"CFA Institute",0015198X,,,,"English","Finan. Anal. J.",Article,"Final","",Scopus,2-s2.0-0008529646
"Coughenour J., Shastri K.","6506924538;7003595449;","Symposium on market microstructure: A review of empirical research",1999,"Financial Review","34","4",,"1","27",,28,"10.1111/j.1540-6288.1999.tb00467.x","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-33748331805&doi=10.1111%2fj.1540-6288.1999.tb00467.x&partnerID=40&md5=d76d42ca3bac2fb115fa0aff93d48d6b","University of Delaware, United States; University of Pittsburgh, United States","Coughenour, J., University of Delaware, United States; Shastri, K., University of Pittsburgh, United States","This paper provides a review of empirical research in four topics within the area of market microstructure. Specifically, the paper provides an overview of issues related to (a) the estimation of the components of the bid-ask spread, (b) the effects of order flow characteristics and regulations on market liquidity, (c) the differences and similarities between the NYSE and the Nasdaq and (d) the interaction between the options and underlying stock markets. © 1999 Blackwell Publishing Ltd.","Bid-ask spreads; Components of spreads; Derivative and underlying market interactions; Nasdaq; Order flow",,"Shastri, K.; Katz Graduate School of Business, , Pittsburgh, PA, 15260, United States; email: kuldeep@katz.pitt.edu",,,07328516,,,,"English","Financ. Rev.",Article,"Final","",Scopus,2-s2.0-33748331805
"Hartmann P.","56274928700;","Trading volumes and transaction costs in the foreign exchange market: Evidence from daily dollar-yen spot data",1999,"Journal of Banking and Finance","23","5",,"801","824",,52,"10.1016/S0378-4266(98)00115-0","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-0000336043&doi=10.1016%2fS0378-4266%2898%2900115-0&partnerID=40&md5=1d6371a6331ec43ee3a4c9548d083139","European Central Bank, Direct. Gen. Res., K., Frankfurt, Germany","Hartmann, P., European Central Bank, Direct. Gen. Res., K., Frankfurt, Germany","A Generalized Method of Moments estimation of the determinants of dollar/yen bid-ask spreads is undertaken. In particular, a long time-series of daily spot foreign exchange trading volumes is used for the first time. In line with standard spread models and volume theories, it can be shown that unpredictable foreign exchange turnover (a measure of the rate of information arrival) increases spreads, while predictable turnover decreases them. Both effects are strongly significant when employing spot turnover instead of proxies like forward turnover as in previous studies. The results are also found to be robust when unpredictable Reuters quoting frequency is used as an instrument for unpredictable trading volumes to cope with their endogeneity. Spread estimations with plain (non-decomposed) volumes are rejected as misspecified. Finally, there is evidence for the conditional heteroscedasticity of unpredictable spot foreign exchange volumes. © 1999 Elsevier Science B.V.","Bid-ask spreads; C32; F31; Foreign exchange markets; G15; Generalized method of moments estimation; Time-series analysis; Trading volumes",,"Hartmann, P.; European Central Bank, , Frankfurt, Germany; email: p.hartmann@lse.ac.uk",,"Elsevier",03784266,,JBFID,,"English","J. Bank. Financ.",Article,"Final","",Scopus,2-s2.0-0000336043
"Frino A., Stevenson M., Duffy M.","6603753670;14830746700;57205958234;","An analysis of intraday quoted bid-ask spreads in futures markets: Evidence from the Sydney futures exchange",1998,"Australian Journal of Management","23","2",,"185","202",,4,"10.1177/031289629802300204","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-2942600461&doi=10.1177%2f031289629802300204&partnerID=40&md5=b0a0c095b6dbc99869691a4a0250b600","Department of Finance, The University of Sydney, Sydney, NSW 2006, Australia; School of Finance and Economics, UTS, Broadway, NSW 2007, Australia","Frino, A., Department of Finance, The University of Sydney, Sydney, NSW 2006, Australia; Stevenson, M., School of Finance and Economics, UTS, Broadway, NSW 2007, Australia; Duffy, M., School of Finance and Economics, UTS, Broadway, NSW 2007, Australia","Prior research documents an elevation in bid-ask spreads at the open and close of trading in futures markets. These findings directly contradict prior literature examining option and equities markets organised as competitive dealer markets, which also document a widening in spreads at the open, but provide evidence of a narrowing at the close. While prior futures market literature has relied on various estimators of bid-ask spreads, this is the first study to provide evidence on intraday quoted bid-ask spreads in futures markets. The evidence reported in this paper is consistent with prior equities and options market literature, and suggests that the findings in prior futures market research is driven by the spread estimators used. The primary determinants of bid-ask spreads (volume & volatility) are both elevated at the open and close of trading, which is similar to patterns documented in prior research. These findings are consistent with the predictions of inventory holding and adverse selection cost models of spreads. © The University of New South Wales.","Bid-Ask Spreads; Microstructure; Sydney Futures Exchange",,"Frino, A.; Department of Finance, , Sydney, NSW 2006, Australia",,,03128962,,,,"English","Aust. J. Manage.",Article,"Final","",Scopus,2-s2.0-2942600461
"Hartmann P.","56274928700;","Do Reuters spreads reflect currencies' differences in global trading activity?",1998,"Journal of International Money and Finance","17","5",,"757","784",,22,"10.1016/S0261-5606(98)00024-2","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-0000937125&doi=10.1016%2fS0261-5606%2898%2900024-2&partnerID=40&md5=d390fe99c8deb740638aecc8189081c7","European Monetary Institute, Kaiserstraße 29, 60311, Frankfurt, Germany","Hartmann, P., European Monetary Institute, Kaiserstraße 29, 60311, Frankfurt, Germany","A new estimation of the long-run impact of trading activity on bid-ask spreads in the foreign exchange markets is undertaken with a short panel containing around-the-clock Reuters quotes and global transaction volumes. Individual and time effects are accounted for in an unbalanced random effects model. In line with liquidity effect explanations the volume parameter is found to have a (weakly) significant negative sign, whereas the volatility parameter is positive. Structural parameters are stable over time, while residuals are groupwise heteroscedastic. Reuters quoting ('tick') frequency is also tested as a measure of trading activity with very similar results.","Bid-ask spreads; C33; F31; Foreign exchange markets; G15; Random effects models; Trading volumes",,"Hartmann, P.; European Monetary Institute, , Frankfurt, Germany; email: p.hartmann@lse.ac.uk",,"Elsevier BV",02615606,,,,"English","J. Int. Money Financ.",Article,"Final","",Scopus,2-s2.0-0000937125
"Bhardwaj R.K., Moore W.T.","57190149834;7403101363;","Bid-ask spread estimation for a correlated value innovation process",1998,"Financial Review","33","3",,"35","52",,,"10.1111/j.1540-6288.1998.tb01381.x","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85040395974&doi=10.1111%2fj.1540-6288.1998.tb01381.x&partnerID=40&md5=086106bb9bb9ac683caedac6940026f4","Winthrop University, United States; University of South Carolina, United States","Bhardwaj, R.K., Winthrop University, United States; Moore, W.T., University of South Carolina, United States","Previous studies of bid-ask spread estimators based on serial covariance in returns document high proportions of positive serial covariances and therefore negative spread estimates. These findings may be due to the effects of time-variation in expected returns. Although purging the effects of time-varying expected returns yields more reasonable results, the bid-ask spread estimates from daily and weekly returns are still materially different. We present a method that avoids the need for removing the effects of time-varying expected returns by using a spread estimator developed directly for a correlated value innovation process. The new spread estimator not only yields more reasonable estimates of the bid-ask spread than the Roll (1984) model, but the spread estimates from daily and weekly returns are almost equal. © 1998 Blackwell Publishing Ltd.","Bid-ask spread; Serial covariance",,"Moore, W.T.; The Darla Moore School of Business, , Columbia, SC, 29208, United States; email: Moore-Ted@sc.edu",,,07328516,,,,"English","Financ. Rev.",Article,"Final","",Scopus,2-s2.0-85040395974
"Bollerslev T., Domowitz I., Wang J.","7004087804;6701809311;36338227300;","Order flow and the bid-ask spread: An empirical probability model of screen-based trading",1997,"Journal of Economic Dynamics and Control","21","8-9",,"1471","1491",,22,"10.1016/s0165-1889(97)00036-5","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-0031590029&doi=10.1016%2fs0165-1889%2897%2900036-5&partnerID=40&md5=6d809ab17cc3f775606711ec653e0f06","Department of Economics, Rouss Hall, University of Virginia, Charlottesville, VA 22901, United States; NBER, Cambridge, MA 02138, United States; Department of Economics, Northwestern University, Evanston, IL 60208, United States; School of Banking and Finance, University of New South Wales, Kensington, NSW 2033, Australia","Bollerslev, T., Department of Economics, Rouss Hall, University of Virginia, Charlottesville, VA 22901, United States, NBER, Cambridge, MA 02138, United States; Domowitz, I., Department of Economics, Northwestern University, Evanston, IL 60208, United States; Wang, J., School of Banking and Finance, University of New South Wales, Kensington, NSW 2033, Australia","A probabilistic framework for the analysis of screen-based trading activity is presented. Probability functions are derived for the stationary distributions of the best bid and offer, conditional on the order flows. By identifying the unobservable order and acceptance flows, our estimation method permits the prediction of the stationary distributions of other market statistics. A test is proposed that allows a comparison of predicted and sample bid-ask spread distributions taking parameter estimation error into account. The methodology is applied to the screen-based interbank foreign exchange market, using continuously recorded quotes on the Deutschemark/US dollar exchange rate.","Bid-ask spreads; Foreign exchange quotations; Limit order book; Order flow; Screen-based trading; Statistical model evaluation",,"Bollerslev, T.; Department of Economics, , Charlottesville, VA 22901, United States",,"Elsevier",01651889,,JEDCD,,"English","J. Econ. Dyn. Control",Article,"Final","",Scopus,2-s2.0-0031590029
"Nyholm K.","7004613149;","Estimation of the bid/ask spread on Danish stocks, an evaluation of Roll's estimator",1997,"Applied Financial Economics","7","6",,"605","610",,2,"10.1080/758533852","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-0041619321&doi=10.1080%2f758533852&partnerID=40&md5=4732d338c7f98cb533f29e7f57bc386c","Department of Finance, Aarhus School of Business, Fuglesangs Allé 4, DK-8210 Aarhus V, Denmark","Nyholm, K., Department of Finance, Aarhus School of Business, Fuglesangs Allé 4, DK-8210 Aarhus V, Denmark","This paper presents the first empirical study of the bid/ask spread based on intra-daily transactions data from the Danish stock market. The technique developed by Roll (1984) for inferring the bid/ask spread is implemented and evaluated on samples of data from January, February and March 1993. In particular, since quoted spreads are available, it is possible to make a direct evaluation of the Roll estimator. The conclusion of the paper is twofold. First, the Roll estimator captures a large part of the actual quoted spread. Secondly, the average Danish bid/ask spread is larger than the 0.3% presented by Roll for the US market.",,,"Nyholm, K.; Department of Finance, Fuglesangs Allé 4, DK-8210 Aarhus V, Denmark",,"Routledge",09603107,,,,"English","Appl. Financ. Econ.",Article,"Final","",Scopus,2-s2.0-0041619321
"Brooks R., Masson J.","7402358657;57200238510;","Performance of stoll's spread component estimator: Evidence from simulations, time-series, and cross-sectional data",1996,"Journal of Financial Research","19","4",,"459","476",,8,"10.1111/j.1475-6803.1996.tb00225.x","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-0042447346&doi=10.1111%2fj.1475-6803.1996.tb00225.x&partnerID=40&md5=4eb99bdd2419932f80ab9f46890c345b","University of Missouri-Columbia, United States; University of Ottawa, Canada","Brooks, R., University of Missouri-Columbia, United States; Masson, J., University of Ottawa, Canada","Stoll (1989) introduces an intuitive procedure to estimate the basic components of the bid-ask spread (order-processing cost, inventory cost, and adverse-selection cost). He also provides reasonable estimates of the magnitudes of the order-processing, inventory, and adverse-selection costs of making markets for a large cross-section of NASDAQ/NMS stocks. Empirical applications of Stoll's model produce widely different estimates of the bid-ask spread components. We derive the sampling properties of Stoll's estimator of the realized bid-ask spread, i.e., the sum of the order-processing and inventory components. We test Stoll's model in simulations, using the ideal conditions implied by the model. We conclude that noise in serial covariance estimates causes estimates of the realized spread to be severely biased and highly unreliable in short time-series and small cross-sectional samples. © The Southern Finance Association and the Southwestern Finance Association.",,,,,,02702592,,,,"English","J. Financ. Res.",Article,"Final","",Scopus,2-s2.0-0042447346
"Kim S.-H., Ogden J.P.","57200235955;8950232900;","Determinants of the components of bid-ask spreads on stocks",1996,"European Financial Management","2","1",,"127","145",,26,"10.1111/j.1468-036X.1996.tb00032.x","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-0038461520&doi=10.1111%2fj.1468-036X.1996.tb00032.x&partnerID=40&md5=b6c05442d6e7c3f6c1cbac6c6c83e852","Department of Finance and Managerial Economics, State University of New York at Buffalo, Buffalo, NY, 14260, United States","Kim, S.-H., Department of Finance and Managerial Economics, State University of New York at Buffalo, Buffalo, NY, 14260, United States; Ogden, J.P., Department of Finance and Managerial Economics, State University of New York at Buffalo, Buffalo, NY, 14260, United States","In this paper we show that George et al. (GKN, 1991) estimators of the adverse selection and order processing cost components of the bid-ask spread are biased due to intertemporal variations in the bid-ask spread. We use alternative estimators that correct this bias and that are applicable to individual securities, and estimate these cost components empirically using data on NYSE/AMEX stocks. As expected, our results indicate that on average adverse selection costs account for approximately 50% of the bid-ask spread, sharply higher than the estimates of 8-10% obtained by GKN for NASDAQ stocks and 21% that we obtain for NYSE/AMEX stocks using GKN's estimators. We then conduct cross-sectional regressions designed primarily to determine whether adverse selection costs vary across specialists after controlling for firm size and other factors. Consistent with previously established hypotheses, we find that adverse-selection costs vary across specialists, and that this variation is related to the number of securities that the specialist handles. © 1996 Blackwell Publishing Ltd.","Adverse selection cost; Bid-ask spread; D82; G14; Microstructure; Order processing cost; Specialist",,,,,13547798,,,,"English","Eur. Financ. Manage.",Article,"Final","",Scopus,2-s2.0-0038461520
